date;EWI US Equity;EWD US Equity;EWI US Equity_cp_precio;EWI US Equity_mp_precio;EWI US Equity_lp_precio;EWI US Equity_cp_mp;EWI US Equity_cp_lp;EWI US Equity_mp_lp;EWI US Equity_compare;EWD US Equity_cp_precio;EWD US Equity_mp_precio;EWD US Equity_lp_precio;EWD US Equity_cp_mp;EWD US Equity_cp_lp;EWD US Equity_mp_lp;EWD US Equity_compare;CLASS
2000-06-06;63.8219;40.8844;0.9440530153890309;0.9440358873678149;0.9296608452584468;1.0000181434005266;1.0154810974389084;1.0154626734929033;1.0246294767156727;0.9344800741323611;0.9584192014558129;0.8419882522429104;0.9750222790955263;1.1098493021049505;1.138280966394425;0.957719814892722;1
2000-06-07;64.2935;40.8844;0.9434154085782951;0.9368668061312566;0.9235923149307484;1.006989896967404;1.0214630344223175;1.0143726739448926;1.0268938539665753;0.938550435583533;0.9578677441762639;0.8437179217501064;0.9798330106529026;1.1123983637051558;1.1352938221217097;0.9522067096496463;1
2000-06-08;63.9791;40.2832;0.9541939700397702;0.9412249937870327;0.9288831118287078;1.01377882688873;1.0272487010354108;1.0132867976617934;1.0196548560389251;0.9549564086269204;0.9712304881439419;0.8580431296421348;0.9832438543520995;1.112946862036184;1.1319133672791184;0.9440287762640506;1
2000-06-09;64.1363;40.1329;0.9606087793830154;0.9391141054285941;0.9273539399684745;1.022888245241095;1.0358599214186457;1.012681420710327;1.0122535911800337;0.9636157082379497;0.9740813148314735;0.8629786285067874;0.9892559210055945;1.1166159582715214;1.1287432650759002;0.936329046742199;1
2000-06-12;64.4507;40.3583;0.9651563132751086;0.9349720018556812;0.923561885285964;1.0322836527291932;1.045036968991272;1.0123544688791313;1.0073156691859049;0.9671458977636384;0.9686783140023253;0.8598993020023155;0.998418033916383;1.1247199474538405;1.126502035467075;0.9255122242512692;1
2000-06-13;65.3938;39.1558;0.9601655115404133;0.9222571864611009;0.9110356792234138;1.0411038543649356;1.0539274514022094;1.012317308195056;0.9855781434937256;1.0021943474165103;0.9974289377308099;0.8879291318272146;1.0047776934330197;1.128687314666832;1.123320434006104;0.982725419988865;1
2000-06-14;66.0226;38.9304;0.9595242494885958;0.9149497899204203;0.9032518183167593;1.0487179297260154;1.0622998260625724;1.012950952731499;0.9642864716021484;1.014340060356797;1.0026633684729682;0.8946722869531278;1.0116456751597616;1.133755985458325;1.120704623463427;0.9787646672009536;0
2000-06-15;65.2366;38.0285;0.9779696410560074;0.9268891695765865;0.9149659240365082;1.0551095785300362;1.06885908574775;1.0130313547497782;0.9518077275639749;1.0409375299352541;1.0251386197194219;0.9175171647580117;1.0154114867120665;1.1345155926426658;1.1172963941113783;0.9802385053315277;0
2000-06-16;64.9222;37.5776;0.9877212373315407;0.9326369100246132;0.9201595602120703;1.0590629930199458;1.0734238712945605;1.0135599849765917;0.9661025042281376;1.0545708841741572;1.0364794452013977;0.9300354333432697;1.0174547011583468;1.1339039851236747;1.1144515660822574;0.9819999148428853;0
2000-06-19;64.9222;37.3521;0.9910072583580264;0.9335085687176334;0.9209706926136217;1.0615941744588153;1.0760464652199169;1.013613762310319;0.9733665833875007;1.0589253539770362;1.0408857333322636;0.9371476436398503;1.0173310288219832;1.1299450637940096;1.1106955669114187;0.9879283895684581;0
2000-06-20;64.4507;38.4794;1.0010446522912646;0.9411183121362521;0.9284643068267695;1.0636756711480677;1.0781724670844421;1.0136289625960209;0.9804874113081783;1.0269262811493185;1.0091026367355012;0.9112269162201088;1.0176628657630682;1.1269709694366208;1.1074109190292514;0.9414076103057741;1
2000-06-21;63.6647;38.1037;1.0144617032672743;0.9531817474990054;0.9406307655576807;1.0642898963697716;1.0784908812394849;1.0133431548285405;1.0172827328174012;1.035220239204365;1.0171982773326484;0.9216734726548877;1.0177172555963963;1.123196305327531;1.1036427840356529;0.9763303826137618;1
2000-06-22;62.0927;37.277;1.0372515609725466;0.9776678740012907;0.9650016668626114;1.0609447119576492;1.0748702272658577;1.0131255805804558;1.0278486843058845;1.0505461046451454;1.0383053357298075;0.9435651205837392;1.0117891804020578;1.1133795450124546;1.1004066524708513;0.9778227861684148;1
2000-06-23;62.7215;36.9012;1.0250626066933082;0.9682674999800697;0.9558786460782998;1.05865642161325;1.0723773471651978;1.0129606974196965;1.0426058050269844;1.0536802132644527;1.0477795844037603;0.9545602446532917;1.0056315554802973;1.1038383582035336;1.0976568427950057;1.0142569889326092;1
2000-06-26;63.1931;36.9012;1.0167019817036993;0.9616882539391158;0.9493420958933818;1.0572053651890254;1.0709542809717376;1.0130049621723722;1.0248745511772646;1.045970049754478;1.0470871407975904;0.9559461480927464;0.9989331441485743;1.0941725659351653;1.09534113703652;1.0224030654829652;1
2000-06-27;63.1931;36.2248;1.0154581750222735;0.9630812857732876;0.950001297610025;1.054384702540379;1.068901882109974;1.0137683897865915;1.0323373912658185;1.0563128417153818;1.0666386563900987;0.9751342864556893;0.9903192945306677;1.0832485908733158;1.0938377115904716;1.0352686557275679;0
2000-06-28;64.765;37.2018;0.9916789271101019;0.9415996911912289;0.9277449471164992;1.053185272241877;1.0689133152299177;1.0149337855385698;1.0121361846676447;1.0226553937866278;1.0385859823987023;0.9509889575235623;0.9846612713034298;1.0753599037045494;1.0921115057983937;1.0101016617475498;1
2000-06-29;63.8219;36.4503;1.0059811533568979;0.957040859015478;0.942193204840346;1.0511371002401773;1.0677015586493863;1.015758608848859;1.0344818941460532;1.036523116995704;1.0589264834582992;0.9720958812410339;0.9788433221639438;1.0662766266146697;1.0893230841657433;1.0329873828198946;1
2000-06-30;65.3938;37.4273;0.982830067332727;0.9364398765632206;0.9203625878905963;1.049538888646819;1.067872684378992;1.0174684291649363;1.024038976172053;1.0038720780973076;1.0301999877095074;0.948311980826831;0.9744438847541285;1.0585884164639932;1.0863513364149195;1.0120473558071246;1
2000-07-03;64.765;37.7279;0.9916788168212554;0.9473278159499718;0.9300750328109328;1.046816951982782;1.0662352840761025;1.018549883106631;1.0436902648035205;0.9931702684599065;1.0212746535057622;0.9423365997047293;0.9724810706411043;1.0539442793276899;1.0837684260865674;0.9940229909430423;1
