"","date","ret_stat","ret_ew","stat","ew"
"1",2018-01-02,0.000157210454996904,0.00298198994205524,1.000157210455,1.00298198994206
"2",2018-01-03,0.00073804097196496,0.0150109550326697,1.00089536745472,1.01803770749165
"3",2018-01-04,0.000359940636001284,0.0075740866421109,1.00125563036985,1.02574841329313
"4",2018-01-05,-0.000145036240079994,-0.00310706748914393,1.00111041201786,1.02256134374615
"5",2018-01-08,8.21868474299208e-05,0.00210285443628527,1.00119269012656,1.02471164140422
"6",2018-01-09,-9.86334145048798e-05,-0.00198993188696698,1.00109393907295,1.02267253503404
"7",2018-01-10,0.000337820586419762,0.00779958679599333,1.00143212921451,1.03064895823492
"8",2018-01-11,0.000583546346177204,0.0126791915419952,1.00201651127446,1.04371675378894
"9",2018-01-12,5.44388477833713e-05,0.00121089586974389,1.00207105989879,1.04498058609528
"10",2018-01-16,0.000169561377945228,0.00424326478587611,1.00224097244851,1.04941471541818
"11",2018-01-17,7.37771480279603e-05,0.00150709306969323,1.00231491492909,1.05099628106302
"12",2018-01-18,0.000265847504703457,0.00567415242444091,1.00258137784815,1.0569597941593
"13",2018-01-19,0.000317076774997106,0.00722402207651531,1.00289927311811,1.06459529504629
"14",2018-01-22,8.95395094496109e-05,0.0017782420043125,1.00298907222706,1.06648840311754
"15",2018-01-23,8.10021916897837e-05,0.0018445459759503,1.00307031654015,1.06845559000991
"16",2018-01-24,-0.0001355213856313,-0.00215119862602625,1.00293437906096,1.06615712981271
"17",2018-01-25,0.00038072270408747,0.00836966094277729,1.00331621894978,1.07508050350096
"18",2018-01-26,-0.000420768956064977,-0.00950658614625244,1.00289405463173,1.06486015808027
"19",2018-01-29,-0.000333687409523822,-0.00740442300995676,1.00255940151261,1.0569754830234
"20",2018-01-30,2.16593482856673e-05,0.00125303942248631,1.00258111629587,1.05829991497223
"21",2018-01-31,0.00014966869112571,0.00332747711383839,1.00273117129929,1.06182138371888
"22",2018-02-01,-0.00111040507159776,-0.0248390696244494,1.00161773352123,1.03544672843995
"23",2018-02-02,-0.00196526637625616,-0.0422143959928295,0.999649287867681,0.991735970216109
"24",2018-02-05,0.00114721256363877,0.0237903840328198,1.00079609808996,1.01532974980671
"25",2018-02-06,-0.000619785664126843,-0.0137360141623168,1.00017581901565,1.00138316598394
"26",2018-02-07,-0.00119110179260846,-0.0260807206367558,0.998984507804692,0.975266371381567
"27",2018-02-08,0.000212170198276068,0.00392623368089524,0.999196462545788,0.97909549505673
"28",2018-02-09,0.000609749901316045,0.0129812020227295,0.99980572249022,0.991805331477606
"29",2018-02-12,-0.000128166165871791,-0.00278989611403305,0.999677581224152,0.989038297637439
"30",2018-02-13,0.000933713933660638,0.0204119006837575,1.00061099411091,1.00922644914125
"31",2018-02-14,0.000332665023720133,0.00653539485214065,1.000943862391,1.01582214248161
"32",2018-02-15,4.89411739184462e-05,0.000887400062156751,1.00099284975865,1.01672358311399
"33",2018-02-16,-0.00045701554039457,-0.00991891933764801,1.00053538047049,1.0066387839044
"34",2018-02-20,-0.000238594882523758,-0.00517634124880627,1.00029665784892,1.00142807804462
"35",2018-02-21,0.000175549973277278,0.00394805070776018,1.00047225990048,1.00538176687692
"36",2018-02-22,0.000357578350419919,0.00733407677695763,1.00083000712081,1.01275531394535
"37",2018-02-23,0.000269536723193078,0.00623650460354939,1.00109976756141,1.01907136712304
"38",2018-02-26,-0.000736513183498591,-0.0162927365822493,1.0003624443846,1.00246790577999
"39",2018-02-27,-0.000453381239946729,-0.0100007257203881,0.99990889881917,0.99244249921079
"40",2018-02-28,-0.000538681402805258,-0.0113319702124127,0.999370266490876,0.981196170372201
"41",2018-03-01,-6.29915773484221e-06,5.94974084382249e-05,0.999363971299932,0.981254549001508
"42",2018-03-02,0.00030685306892395,0.00641501133989176,0.999670629201498,0.987549308060673
"43",2018-03-05,0.000408576979728891,0.00775611652978316,1.0000790716079,0.995208855572898
"44",2018-03-06,0.000166253443493063,0.00349741794283909,1.00024533819732,0.998689516881251
"45",2018-03-07,9.40331043053702e-05,0.00119525962855103,1.00033939437154,0.999883210142236
"46",2018-03-08,0.000265252714843587,0.00552738581048597,1.00060473711166,1.00540995041012
"47",2018-03-09,6.95744852010499e-05,0.00147982723987852,1.00067435367113,1.00689778344198
"48",2018-03-12,-0.000392199057344906,-0.00837118802140914,1.00028189013292,0.998468852778449
"49",2018-03-13,0.000142880747610587,0.00287951064833082,1.0004248111572,1.00134395447205
"50",2018-03-14,2.33359520138906e-05,0.000113680496468727,1.00044815702259,1.00145778774993
"51",2018-03-15,1.44234823671866e-05,0.000820454074095411,1.00046258696894,1.00227943787193
"52",2018-03-16,-0.000256004749254225,-0.00567286935862729,1.00020646379522,0.99659363756004
"53",2018-03-19,-7.92703156535747e-05,-0.00214435643666554,1.00012717711312,0.994456585578598
"54",2018-03-20,1.37383037544129e-05,0.000449373441482326,1.00014091716407,0.994903467956864
"55",2018-03-21,-0.00103541427655738,-0.0226643808759747,0.99910535697987,0.972354596824262
"56",2018-03-22,-0.000293565760987339,-0.00657005930504507,0.998812053855441,0.965966169457593
"57",2018-03-23,0.000883304804745185,0.0194163327591198,0.999694309341649,0.984721690037834
"58",2018-03-26,-0.000535408587099281,-0.0118430743435436,0.999159064423953,0.973059557855016
"59",2018-03-27,0.000321693690094772,0.00632112935192744,0.99948048759038,0.979210393187347
"60",2018-03-28,0.000430878511548615,0.00883102760282757,0.999911142255194,0.98785782719856
"61",2018-03-29,-0.000619135925560233,-0.0134267103205755,0.999292061344656,0.974594146314852
